"","city_ibge_code","lat","long"
"1",5200050,-16.7573,-49.4412
"2",3100104,-18.4831,-47.3916
"3",5200100,-16.197,-48.7057
"4",3100203,-19.1551,-45.4444
"5",1500107,-1.72183,-48.8788
"6",2300101,-7.34588,-39.0416
"7",2900108,-13.2488,-41.6619
"8",2900207,-8.72073,-39.1162
"9",4100103,-23.3049,-50.3133
"10",4200051,-27.6126,-51.0233
"11",1500131,-4.95333,-48.3933
"12",4200101,-26.5716,-52.3229
"13",3100302,-20.2996,-42.4743
"14",2600054,-7.90072,-34.8984
"15",1700251,-9.62101,-49.1518
"16",3100401,-20.359,-43.1439
"17",2100055,-4.94714,-47.5004
"18",2900306,-11.6575,-38.0197
"19",1500206,-1.95383,-48.1985
"20",2300150,-4.22083,-38.7055
"21",2300200,-2.88769,-40.1183
"22",2400109,-6.4282,-36.6347
"23",2200053,-8.21954,-41.0831
"24",4300034,-31.8665,-54.1615
"25",2300309,-6.08911,-39.448
"26",5100102,-15.194,-56.3632
"27",1200013,-9.82581,-66.8972
"28",5200134,-17.396,-50.3749
"29",2400208,-5.58362,-36.914
"30",3100500,-19.0671,-42.5419
"31",3500105,-21.682,-51.0737
"32",5200159,-16.4127,-50.1657
"33",3500204,-21.2325,-49.6451
"34",4100202,-24.6606,-48.9922
"35",2900355,-10.5437,-38.1113
"36",2600104,-7.74312,-37.631
"37",2400307,-5.49229,-36.5075
"38",3200102,-20.0778,-41.1261
"39",2100105,-4.13631,-43.3275
"40",2600203,-8.51136,-41.0095
"41",1500305,-0.154874,-50.3861
"42",2600302,-8.45966,-35.9447
"43",2200103,-5.79676,-42.6664
"44",4200200,-27.4087,-49.822
"45",4200309,-27.2662,-49.708
"46",1500347,-6.79053,-50.4791
"47",3100609,-17.9914,-42.3806
"48",5100201,-14.051,-52.1601
"49",2200202,-5.88856,-42.637
"50",2500106,-7.51144,-37.6357
"51",2700102,-9.262,-37.938
"52",5000203,-20.4452,-52.879
"53",3100708,-20.0576,-48.1069
"54",4200408,-26.9985,-51.5528
"55",2100154,-2.84048,-42.1189
"56",3200169,-18.5482,-40.9854
"57",2900405,-11.8618,-38.7639
"58",5200175,-14.9778,-47.7823
"59",5200209,-18.0771,-48.7603
"60",2400406,-6.20351,-38.2941
"61",2600401,-8.70609,-35.5263
"62",4300059,-28.1672,-52.031
"63",3500303,-22.0572,-46.9735
"64",3100807,-20.9439,-45.3915
"65",2600500,-9.11125,-37.1226
"66",3500402,-21.9319,-46.7176
"67",4200507,-27.0754,-52.9808
"68",3500501,-22.4733,-46.6314
"69",3500550,-22.8812,-49.2421
"70",3500600,-22.5977,-47.8734
"71",3100906,-17.0802,-40.9384
"72",4200556,-26.8794,-52.8568
"73",5200258,-15.7617,-48.2816
"74",4200606,-27.6963,-48.8243
"75",3101003,-15.7431,-41.4571
"76",4300109,-29.6447,-53.2515
"77",3500709,-22.4694,-48.9863
"78",4100301,-25.9899,-49.3343
"79",3200136,-18.9846,-40.7437
"80",2500205,-7.0918,-38.1681
"81",1700301,-6.55409,-47.4702
"82",3101102,-19.5007,-41.0746
"83",2900603,-14.1269,-39.8937
"84",2300408,-6.57122,-40.1178
"85",3101201,-21.9736,-44.6042
"86",4300208,-28.2342,-53.7757
"87",3101300,-22.171,-44.6413
"88",2500304,-7.03943,-35.6206
"89",2500403,-7.05377,-35.7591
"90",2500502,-6.94657,-35.5332
"91",2600609,-8.4665,-36.7788
"92",2200251,-7.00039,-40.9282
"93",2900702,-12.1335,-38.4208
"94",3500758,-23.5503,-47.898
"95",3101409,-22.2018,-46.6139
"96",2100204,-2.39574,-44.4062
"97",2300507,-3.58537,-40.5479
"98",2500536,-7.73668,-36.0511
"99",5000252,-18.3255,-53.7042
"100",2900801,-17.5195,-39.2036
"101",2100303,-4.62621,-43.4689
"102",4300307,-27.6579,-54.7649
"103",3200201,-20.758,-41.5382
"104",4300406,-29.7902,-55.7949
"105",2200277,-7.24196,-40.8566
"106",4300455,-27.8345,-54.0557
"107",3101508,-21.8797,-42.7176
"108",1500404,-1.94623,-54.7384
"109",2400505,-6.40533,-38.0142
"110",5200308,-16.0834,-48.5076
"111",3101607,-21.4256,-45.9477
"112",3200300,-20.6396,-40.7543
"113",3500808,-21.9527,-51.414
"114",3101631,-21.1535,-43.7718
"115",4200705,-27.7001,-49.3273
"116",2500577,-6.89292,-36.0129
"117",2500601,-7.42977,-34.9057
"118",2600708,-7.60398,-35.2227
"119",1700350,-11.3056,-48.9361
"120",2900900,-14.7089,-39.6415
"121",1700400,-11.5706,-47.1792
"122",1500503,-1.52904,-52.5788
"123",3101706,-16.1785,-40.6942
"124",2400604,-6.1475,-37.7636
"125",4100400,-25.3188,-49.3037
"126",4300471,-28.1149,-52.9142
"127",5200506,-17.7292,-49.4769
"128",3101805,-18.974,-41.97
"129",4300505,-27.2502,-53.0341
"130",3101904,-20.8631,-46.3878
"131",5100250,-9.86674,-56.0867
"132",1100015,-11.9283,-61.9953
"133",3500907,-20.5242,-49.0571
"134",1500602,-3.20407,-52.21
"135",2100402,-4.16598,-45.4706
"136",4100459,-24.7983,-52.7128
"137",2300606,-6.99837,-39.7356
"138",3102001,-21.2488,-46.1387
"139",2600807,-8.48482,-36.0644
"140",3501004,-21.0214,-47.3712
"141",3501103,-21.5811,-50.168
"142",1400050,2.98858,-61.3072
"143",4300554,-28.7769,-52.9893
"144",2100436,-4.213,-44.446
"145",2100477,-3.66689,-45.8421
"146",1100379,-12.132,-61.835
"147",5100300,-17.3153,-53.2181
"148",4200754,-27.4333,-51.9044
"149",5100359,-11.6732,-51.3883
"150",3102050,-20.431,-41.8738
"151",2400703,-5.28186,-36.75
"152",4300570,-29.3919,-51.3123
"153",5100409,-16.9462,-53.5272
"154",5200555,-14.1978,-49.3378
"155",3153509,-20.4208,-41.967
"156",2200301,-5.25634,-42.2096
"157",5100508,-14.5137,-56.4776
"158",4128625,-26.1146,-52.7469
"159",1100403,-9.71429,-63.3188
"160",5200605,-14.1305,-47.51
"161",4100608,-23.1312,-52.3189
"162",2100501,-9.10273,-45.9303
"163",4100707,-24.0224,-53.44
"164",3102100,-21.0281,-43.4067
"165",3200359,-19.0618,-41.0209
"166",2300705,-5.50894,-38.2743
"167",5100607,-17.8241,-53.2792
"168",4100509,-23.8759,-53.8958
"169",2200400,-5.03888,-42.4612
"170",3501152,-23.5306,-47.2546
"171",1300029,-3.22727,-64.8007
"172",3102209,-19.4174,-41.7317
"173",3501202,-20.3203,-49.9141
"174",3501301,-22.0764,-51.4722
"175",3501400,-22.0841,-49.719
"176",3501509,-22.4435,-49.7623
"177",3102308,-20.1098,-43.0535
"178",1700707,-12.4785,-49.1249
"179",4300604,-29.9914,-51.0809
"180",1100346,-11.3463,-62.2847
"181",3102407,-18.7334,-43.3638
"182",2200459,-8.42418,-43.777
"183",5200803,-14.4797,-46.491
"184",4100806,-22.7813,-51.2297
"185",1400027,3.64571,-61.3692
"186",5000609,-23.1058,-55.2253
"187",1600105,2.05267,-50.7957
"188",2100550,-1.67524,-46.0024
"189",4100905,-23.0943,-52.7866
"190",2600906,-8.37691,-35.4501
"191",4300638,-30.8756,-52.2509
"192",5200829,-13.9236,-49.2962
"193",2200509,-6.24304,-42.8433
"194",2100600,-5.56913,-46.7473
"195",2901007,-13.0215,-39.602
"196",1300060,-3.37455,-68.2005
"197",2901106,-12.3914,-38.7563
"198",2901155,-11.4429,-41.439
"199",3501608,-22.7374,-47.3331
"200",5200852,-16.2514,-49.9831
"201",3501707,-21.7288,-48.1147
"202",3501806,-20.2985,-49.7359
"203",4300646,-27.3607,-53.183
"204",2300754,-3.36017,-39.8288
"205",5200902,-16.6151,-51.0919
"206",2500734,-7.55502,-37.0628
"207",3501905,-22.7088,-46.772
"208",2800100,-10.1348,-36.935
"209",3102506,-20.5051,-42.8009
"210",4101002,-25.9168,-53.4686
"211",2700201,-9.68489,-36.3078
"212",2901205,-14.6151,-41.1356
"213",4101051,-24.6449,-53.1332
"214",1500701,-0.996811,-49.9354
"215",2100709,-3.26269,-44.6126
"216",3502002,-22.1289,-47.6619
"217",1300086,-3.56697,-61.3963
"218",1701002,-6.36437,-48.0735
"219",1500800,-1.36391,-48.3743
"220",5201108,-16.3281,-48.953
"221",1500859,-3.46985,-51.2003
"222",2100808,-3.67577,-43.1014
"223",5000708,-20.4823,-55.8104
"224",5000807,-22.1852,-52.7191
"225",4200804,-26.5382,-53.3319
"226",3200409,-20.7955,-40.6425
"227",2901304,-12.8049,-41.3297
"228",4101101,-23.0533,-50.2304
"229",2901353,-10.3482,-39.8391
"230",3102605,-22.0695,-46.5724
"231",3502101,-20.8948,-51.3786
"232",4300661,-28.6283,-51.5797
"233",3102803,-21.7411,-44.3117
"234",3502200,-23.4917,-48.4139
"235",3102852,-17.7279,-42.2641
"236",5000856,-22.1527,-53.7708
"237",2601003,-8.88429,-36.2902
"238",4200903,-27.5704,-48.9879
"239",2901403,-12.0063,-44.7003
"240",2200608,-6.08786,-42.74
"241",1701051,-6.39179,-47.8611
"242",2400802,-5.65792,-36.6094
"243",3300100,-23.0011,-44.3196
"244",2901502,-12.1462,-39.2462
"245",4101150,-23.1946,-51.9154
"246",5201207,-18.3339,-48.2204
"247",3502309,-22.793,-48.1336
"248",3502408,-22.2934,-51.3895
"249",5201306,-16.4642,-49.9617
"250",2200707,-9.18564,-43.0494
"251",4201000,-27.6897,-51.1271
"252",4201109,-27.9012,-49.1316
"253",1300102,-3.74603,-61.6575
"254",4300703,-28.9698,-52.0102
"255",2901601,-10.3856,-38.3401
"256",4101200,-25.4386,-48.7191
"257",2300804,-6.76919,-39.987
"258",2200806,-7.21276,-44.1889
"259",2901700,-12.4335,-39.1176
"260",4201208,-27.5191,-48.766
"261",3102902,-21.321,-43.7451
"262",3103009,-19.6491,-42.8732
"263",2901809,-10.5767,-40.2785
"264",5000906,-22.1927,-55.9517
"265",2400901,-6.21367,-37.8834
"266",4101309,-25.9804,-50.1972
"267",4300802,-28.8565,-51.2883
"268",3103108,-21.0192,-42.1109
"269",2500775,-6.78466,-38.0803
"270",3502507,-22.8495,-45.2325
"271",3502606,-20.4487,-50.8835
"272",5201405,-16.8198,-49.2469
"273",5201454,-18.2941,-51.1516
"274",1701101,-9.94139,-47.9638
"275",5001003,-20.0873,-51.0961
"276",3300159,-21.6252,-42.1017
"277",3200508,-21.1523,-41.5693
"278",5100805,-9.53981,-57.4587
"279",3502705,-24.5108,-48.8443
"280",2100832,-1.45862,-45.0864
"281",4201257,-27.0375,-49.3885
"282",2401008,-5.65349,-37.7946
"283",2901908,-11.6577,-38.0814
"284",5201504,-18.9607,-51.9232
"285",2901957,-13.8542,-39.7501
"286",4101408,-23.55,-51.4635
"287",1300144,-7.19409,-59.896
"288",2300903,-3.94506,-39.4359
"289",2800209,-10.278,-37.0148
"290",5001102,-20.4666,-55.7868
"291",2301000,-3.89929,-38.3896
"292",4201273,-27.1587,-52.1423
"293",2500809,-6.84374,-35.3737
"294",3103207,-19.1955,-44.2493
"295",2800308,-10.9091,-37.0677
"296",3502754,-23.4366,-47.0608
"297",2902054,-12.22,-38.2027
"298",2301109,-4.55826,-37.7679
"299",2902005,-14.428,-41.4648
"300",3502804,-21.2076,-50.4401
"301",2902104,-11.3253,-38.9584
"302",3103306,-21.3446,-43.3736
"303",2601052,-7.78391,-35.0809
"304",2301208,-4.36872,-38.8125
"305",3502903,-23.5029,-47.6166
"306",3200607,-19.82,-40.2764
"307",5201603,-16.3563,-49.6804
"308",3103405,-16.8523,-42.0637
"309",5201702,-15.8955,-52.2372
"310",5201801,-16.9087,-49.4476
"311",1701309,-7.16005,-48.5291
"312",1701903,-8.80755,-49.5569
"313",1702000,-12.9289,-49.8231
"314",5101001,-15.7291,-51.8341
"315",1702109,-7.19238,-48.2044
"316",5101209,-16.857,-53.0318
"317",1702158,-6.58225,-48.6395
"318",2100873,-2.94644,-45.6589
"319",5202155,-15.0909,-50.6315
"320",3103504,-18.6456,-48.1934
"321",1702208,-5.64659,-48.1232
"322",2100907,-2.89091,-41.905
"323",5001243,-22.9385,-55.6334
"324",2902203,-12.0884,-38.4969
"325",4300851,-30.9092,-51.5046
